Trade Date,Type,Cusip,Ticker,Security Type,Price USD,Quantity,Amount USD
03/30/2023,DBS,,QACDS,Money Market,0,378000,-378000
03/30/2023,Deposit,,,Cash,0,0,378000
03/30/2023,Dividend,38141G104,GS,Stock,0,0,53.26
03/30/2023,Reinvest,38141G104,GS,Stock,0,0.16476,-53.26
03/29/2023,Dividend,92204A702,VGT,Stock,0,0,107.79
03/29/2023,Reinvest,92204A702,VGT,Stock,0,0.2889,-107.79
03/29/2023,Dividend,67066G104,NVDA,Stock,0,0,6.9
03/29/2023,Reinvest,67066G104,NVDA,Stock,0,0.02564,-6.9
03/29/2023,Dividend,808524201,SCHX,Stock,0,0,75.22
03/29/2023,Reinvest,808524201,SCHX,Stock,0,1.60042,-75.22
03/27/2023,Dividend,808524607,SCHA,Stock,0,0,30.14
03/27/2023,Reinvest,808524607,SCHA,Stock,0,0.74327,-30.14
03/22/2023,DBS,,QACDS,Money Market,0,50.15,-50.15
03/22/2023,Dividend,316092600,FHLC,Stock,0,0,14.15
03/22/2023,Dividend,316092808,FTEC,Stock,0,0,65.62
03/22/2023,Reinvest,316092808,FTEC,Stock,0,0.59786,-65.62
03/22/2023,Dividend,316092873,FCOM,Stock,0,0,36
03/09/2023,Dividend,594918104,MSFT,Stock,0,0,41.86
03/09/2023,Reinvest,594918104,MSFT,Stock,0,0.16188,-41.86
03/07/2023,Dividend,808524839,SCHZ,Stock,0,0,0.74
03/07/2023,Reinvest,808524839,SCHZ,Stock,0,0.01626,-0.74
03/06/2023,WDL,,QACDS,Money Market,0,-2.31,2.31
03/03/2023,ADR,47215P106,JD,Stock,0,0,-2.31
03/01/2023,Interest,,QACDS,Money Market,0,0,0.06
03/01/2023,Reinvest,,QACDS,Money Market,0,0.06,-0.06
02/23/2023,WDL,,QACDS,Money Market,0,-0.19,0.19
02/22/2023,ADR,653656108,NICE,Stock,0,0,-0.19
02/16/2023,Dividend,037833100,AAPL,Stock,0,0,23.28
02/16/2023,Reinvest,037833100,AAPL,Stock,0,0.15124,-23.28
02/15/2023,Dividend,N07059210,ASML,Stock,0,0,17.87
02/15/2023,Reinvest,N07059210,ASML,Stock,0,0.02295,-15.19
02/15/2023,FWT,N07059210,ASML,Stock,0,0,-2.68
02/09/2023,Dividend,57636Q104,MA,Stock,0,0,20.18
02/09/2023,Reinvest,57636Q104,MA,Stock,0,0.05405,-20.18
02/07/2023,Dividend,808524839,SCHZ,Stock,0,0,0.77
02/07/2023,Reinvest,808524839,SCHZ,Stock,0,0.01647,-0.77
02/01/2023,Interest,,QACDS,Money Market,0,0,0.07
02/01/2023,Reinvest,,QACDS,Money Market,0,0.07,-0.07
01/17/2023,Dividend,053484101,AVB,Stock,0,0,30.46
01/17/2023,Reinvest,053484101,AVB,Stock,0,0.18041,-30.46
01/10/2023,Dividend,91822J103,MTN,Stock,0,0,29.55
01/10/2023,Reinvest,91822J103,MTN,Stock,0,0.12036,-29.55
01/09/2023,DBS,,QACDS,Money Market,0,2.37,-2.37
01/09/2023,Dividend,579780206,MKC,Stock,0,0,16.28
01/09/2023,Reinvest,579780206,MKC,Stock,0,0.1893,-16.28
01/09/2023,Dividend,37954Y708,POTX,Stock,0,0,2.37
01/03/2023,Interest,,QACDS,Money Market,0,0,0.06
01/03/2023,Reinvest,,QACDS,Money Market,0,0.06,-0.06
