Trade Date,Type,Ticker,Security Type,Price USD,Quantity,Amount USD
02/11/2025,Buy,UBER,Stock,78.24,200,15648.00
07/03/2025,Buy,VDC,ETF,221.57,0.47272,104.74
04/10/2025,Buy,VDC,ETF,216.13,0.45269,97.84
01/27/2025,Buy,VDC,ETF,215.14,20,4302.85
12/26/2024,Buy,VDC,ETF,211.87,0.36144,76.58
10/03/2024,Buy,VDC,ETF,218.32,0.38119,83.22
07/08/2024,Buy,VDC,ETF,202.69,0.47594,96.47
04/04/2024,Buy,VDC,ETF,204.37,0.2629,53.73
12/29/2023,Buy,VDC,ETF,189.98,0.58239,110.64
10/10/2023,Buy,VDC,ETF,179.38,0.35211,63.16
07/10/2023,Buy,VDC,ETF,194.66,0.43574,84.82
04/04/2023,Buy,VDC,ETF,192.40,0.26564,51.11
12/23/2022,Buy,VDC,ETF,192.93,0.45026,86.87
10/06/2022,Buy,VDC,ETF,177.92,0.3864,68.75
07/01/2022,Buy,VDC,ETF,185.56,0.38752,71.91
04/04/2022,Buy,VDC,ETF,196.54,0.22275,43.78
12/27/2021,Buy,VDC,ETF,193.32,0.38217,73.88
10/08/2021,Buy,VDC,ETF,179.35,0.33961,60.91
06/30/2021,Buy,VDC,ETF,181.04,0.32888,59.54
04/07/2021,Buy,VDC,ETF,177.63,0.31278,55.56
12/29/2020,Buy,VDC,ETF,171.68,0.52541,90.20
09/22/2020,Buy,VDC,ETF,162.98,0.30507,49.72
06/30/2020,Buy,VDC,ETF,148.44,0.49124,72.92
05/04/2020,Buy,VDC,ETF,145.00,5,725.00
03/18/2020,Buy,VDC,ETF,136.73,0.23191,31.71
12/26/2019,Buy,VDC,ETF,161.39,0.33564,54.17
10/02/2019,Buy,VDC,ETF,154.62,0.3581,55.37
06/27/2019,Buy,VDC,ETF,148.16,0.3538,52.42
03/27/2019,Buy,VDC,ETF,143.86,0.2606,37.49
12/24/2018,Buy,VDC,ETF,127.64,0.0275,3.51
12/24/2018,Buy,VDC,ETF,127.50,9.8454,1255.24
12/19/2018,Buy,VDC,ETF,134.99,0.1546,20.87
12/17/2018,Buy,VDC,ETF,137.20,20,2743.95
11/20/2018,Buy,VDC,ETF,143.25,20,2864.95
07/01/2025,Buy,VGT,ETF,659.62,0.44353,292.56
